,BuildingType,PrimaryPropertyType,PropertyName,Address,Neighborhood,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
1319,multifamily mr (5-9),mid-rise multifamily,mercerview,1200 mercer st,downtown,6.0606060606060606,0.4199327716540491,0.0,0.5016894720346223,multifamily housing,multifamily housing,0.7917333190187342,,,,,64.64646464646465,2.7325022259431275,2.736641104961832,0.20748781902830438,0.0,0.2934772037482145,0.2934771632778492,0.0,0.0,False,compliant,,0.07965964468479318,0.7915567282321898
1320,nonresidential,small- and mid-sized office,rdm building,1938 fairview ave e,lake union,3.0303030303030303,0.42125409193015984,2.64139459391972,0.3576764714721806,"office, parking",office,0.3360674217617693,parking,1.971605387695668,,,12.121212121212121,10.39069923473986,10.389313442748092,0.366757699326506,0.0,0.5049044895342056,0.5049045146022852,0.0008116572614456092,0.000811657251039747,False,compliant,,0.1378633434053787,1.3485781295807677
1321,nonresidential,small- and mid-sized office,1910 fairview - new,1910 fairview,lake union,5.050505050505051,0.4638586140037819,1.8737514826143953,0.4424828154718715,"office, parking",office,0.5616619249557142,parking,0.0,,,67.67676767676768,7.442473232746469,6.961831828244275,0.41200063581751173,0.0,0.5122746757118364,0.5122746837007389,0.11727440127689999,0.11727440258602459,False,compliant,,0.2490549307779025,2.286719437115215
1322,nonresidential,k-12 school,st nicholas school,1501 10th ave e,east,2.0202020202020203,0.37249415100928995,0.0,0.45428979919540774,k-12 school,k-12 school,0.43270170164796823,,,,,55.55555555555556,10.870085606148024,5.083969347328244,0.47684411039301333,0.0,0.1445632658538253,0.14456325879163137,1.1186691291636035,1.118669123792836,False,compliant,,1.0882669167094403,11.72676634418059
1323,multifamily lr (1-4),low-rise multifamily,minor tower apartments,2525 minor ave e,lake union,4.040404040404041,0.2801198985354937,0.9237077845058992,0.31116768922301463,multifamily housing,multifamily housing,0.2370068173278222,,,,,60.60606060606061,3.799137084493115,0.0,0.10070850440547378,0.0,0.017562208541584086,0.017562201809320215,0.0,0.0,False,compliant,,0.004741645516951976,0.058633831720902946
1324,multifamily lr (1-4),low-rise multifamily,lakeview,1555 lakeview blvd e,east,3.0303030303030303,0.10556597035236603,0.0,0.18758077050229058,multifamily housing,multifamily housing,0.16593483278758925,,,,,95.95959595959596,4.733940417655625,2.4236641221374047,0.09540272091850507,0.0,0.05140357494698907,0.05140356665848831,0.20521198443148744,0.20521199426670558,False,compliant,,0.20638012112533474,4.7786572852535905
1325,multifamily lr (1-4),low-rise multifamily,parkside,1203 ne 135th st,north,3.0303030303030303,0.1220448752593091,0.0,0.20404614598584023,multifamily housing,multifamily housing,0.18240377905416286,,,,,60.60606060606061,3.559443898789033,3.56106881870229,0.07701244293506479,0.0,0.1199724937857411,0.11997249391296858,0.0,0.0,False,compliant,,0.03253954236008293,0.6742890647903839
1326,nonresidential,small- and mid-sized office,space needle building,203 6th avenue n,lake union,2.0202020202020203,0.10573784941267314,0.0,0.1877525084473602,office,office,0.16610660797681034,,,,,96.96969696969697,2.4808245631206627,2.477099295038168,0.049959062536570696,0.0,0.08399719292054011,0.08399719456390961,0.0,0.0,False,compliant,,0.022759898481369483,0.46907065376722357
1327,multifamily mr (5-9),mid-rise multifamily,taylor 28,100 taylor avenue n,lake union,6.0606060606060606,1.9395155438291063,26.978119732817277,0.5356506506721395,"multifamily housing, parking, retail store",multifamily housing,2.004036716946696,parking,15.000800873680378,retail store,2.5235563830620253,95.95959595959596,2.6605944523987244,1.2824426896946566,0.5172072731217985,0.0,0.17121024334478224,0.17121020285576372,1.1782918609374002,1.1782920287738872,False,compliant,,1.1514493432228254,3.0196423336265017
1328,nonresidential,mixed use property,hyatt place,110 6th ave n,lake union,4.040404040404041,2.826948617077194,0.0,2.9067291220326905,"hotel, multifamily housing, parking, retail store",hotel,1.1069515271887915,parking,15.362067710229342,multifamily housing,12.648668400950086,,6.495685423664041,4.893129652671756,1.0476392703714623,0.0,0.8947802742339314,0.8947803125235939,1.138125704829327,1.1381257363825865,False,compliant,,1.3102351974717545,2.403987100557021
